namespace,key,en,lt,es,ru
common,siteName,"OKHAUS.ART","OKHAUS.ART","OKHAUS.ART","OKHAUS.ART"
common,siteSlogan,"The Art of doing OK","The Art of doing OK","The Art of doing OK","The Art of doing OK"
